License;Round;Bidder;Tie;Bid (GBP);Bid (USD)
A;1;TIW;FALSE;170000000;274550000
B;1;ORANGE;FALSE;107400000;173451000
D;1;CRESCENT;TRUE;89300000;144219500
D;1;ONE.TEL;TRUE;89300000;144219500
E;1;EPSILON;TRUE;89300000;144219500
E;1;ONE2ONE;TRUE;89300000;144219500
A;2;NTL MOBILE;FALSE;178500000;288277500
B;2;TELEFONICA;FALSE;113100000;182656500
C;2;WORLDCOM;FALSE;90200000;145673000
D;2;CRESCENT;FALSE;89300000;144219500
E;2;EPSILON;FALSE;89300000;144219500
A;3;NTL MOBILE;FALSE;178500000;288277500
B;3;TIW;FALSE;176500000;285047500
C;3;WORLDCOM;FALSE;90200000;145673000
E;3;ONE2ONE;FALSE;93800000;151487000
D;3;3GUK;TRUE;93800000;151487000
D;3;ONE.TEL;TRUE;93800000;151487000
A;4;NTL MOBILE;FALSE;178500000;288277500
B;4;ORANGE;FALSE;186700000;301520500
C;4;TELEFONICA;FALSE;95300000;153909500
D;4;3GUK;FALSE;93800000;151487000
E;4;ONE2ONE;FALSE;93800000;151487000
A;5;SPECTRUMCO;FALSE;187500000;302812500
C;5;TELEFONICA;FALSE;95300000;153909500
D;5;WORLDCOM;FALSE;99200000;160208000
E;5;EPSILON;FALSE;100100000;161661500
B;5;BT3G;TRUE;196100000;316701500
B;5;TIW;TRUE;196100000;316701500
B;5;VODAFONE;TRUE;196100000;316701500
A;6;SPECTRUMCO;FALSE;187500000;302812500
B;6;ORANGE;FALSE;208900000;337373500
C;6;NTL MOBILE;FALSE;110000000;177650000
D;6;WORLDCOM;FALSE;99200000;160208000
E;6;EPSILON;FALSE;100100000;161661500
A;7;SPECTRUMCO;FALSE;187500000;302812500
C;7;NTL MOBILE;FALSE;110000000;177650000
E;7;3GUK;FALSE;105200000;169898000
B;7;BT3G;TRUE;219400000;354331000
B;7;TIW;TRUE;219400000;354331000
B;7;VODAFONE;TRUE;219400000;354331000
D;7;CRESCENT;TRUE;104200000;168283000
D;7;ONE2ONE;TRUE;104200000;168283000
D;7;ONE.TEL;TRUE;104200000;168283000
D;7;TELEFONICA;TRUE;104200000;168283000
A;8;TIW;FALSE;199500000;322192500
C;8;NTL MOBILE;FALSE;110000000;177650000
D;8;EPSILON;FALSE;110700000;178780500
E;8;3GUK;FALSE;105200000;169898000
B;8;ORANGE;TRUE;230400000;372096000
B;8;VODAFONE;TRUE;230400000;372096000
A;9;SPECTRUMCO;FALSE;209500000;338342500
B;9;ORANGE;FALSE;247800000;400197000
C;9;NTL MOBILE;FALSE;110000000;177650000
D;9;EPSILON;FALSE;110700000;178780500
E;9;TELEFONICA;FALSE;110700000;178780500
A;10;SPECTRUMCO;FALSE;209500000;338342500
B;10;TIW;FALSE;270000000;436050000
C;10;WORLDCOM;FALSE;116300000;187824500
D;10;EPSILON;FALSE;110700000;178780500
E;10;3GUK;FALSE;116300000;187824500
A;11;NTL MOBILE;FALSE;220000000;355300000
B;11;ORANGE;FALSE;285200000;460598000
C;11;WORLDCOM;FALSE;116300000;187824500
D;11;TELEFONICA;FALSE;117000000;188955000
E;11;3GUK;FALSE;116300000;187824500
C;12;ONE.TEL;FALSE;122200000;197353000
D;12;EPSILON;FALSE;124000000;200260000
A;12;SPECTRUMCO;TRUE;231000000;373065000
A;12;TIW;TRUE;231000000;373065000
B;12;BT3G;TRUE;299500000;483692500
B;12;VODAFONE;TRUE;299500000;483692500
E;12;CRESCENT;TRUE;122200000;197353000
E;12;ONE2ONE;TRUE;122200000;197353000
A;13;SPECTRUMCO;FALSE;231000000;373065000
B;13;TIW;FALSE;330100000;533111500
D;13;EPSILON;FALSE;124000000;200260000
E;13;TELEFONICA;FALSE;128800000;208012000
C;13;CRESCENT;TRUE;128400000;207366000
C;13;NTL MOBILE;TRUE;128400000;207366000
A;14;SPECTRUMCO;FALSE;231000000;373065000
B;14;ORANGE;FALSE;348400000;562666000
C;14;NTL MOBILE;FALSE;128400000;207366000
D;14;WORLDCOM;FALSE;130300000;210434500
E;14;TELEFONICA;FALSE;128800000;208012000
A;15;SPECTRUMCO;FALSE;231000000;373065000
D;15;WORLDCOM;FALSE;130300000;210434500
E;15;EPSILON;FALSE;136900000;221093500
B;15;BT3G;TRUE;365900000;590928500
B;15;VODAFONE;TRUE;365900000;590928500
C;15;3GUK;TRUE;134900000;217863500
C;15;CRESCENT;TRUE;134900000;217863500
C;15;ONE2ONE;TRUE;134900000;217863500
C;15;ONE.TEL;TRUE;134900000;217863500
C;15;TIW;TRUE;134900000;217863500
A;16;NTL MOBILE;FALSE;242600000;391799000
B;16;ORANGE;FALSE;400900000;647453500
C;16;TIW;FALSE;143800000;232237000
D;16;TELEFONICA;FALSE;137500000;222062500
E;16;EPSILON;FALSE;136900000;221093500
A;17;SPECTRUMCO;FALSE;254800000;411502000
B;17;VODAFONE;FALSE;421000000;679915000
C;17;TIW;FALSE;143800000;232237000
D;17;TELEFONICA;FALSE;137500000;222062500
E;17;3GUK;TRUE;143800000;232237000
E;17;BT3G;TRUE;143800000;232237000
E;17;CRESCENT;TRUE;143800000;232237000
E;17;ONE2ONE;TRUE;143800000;232237000
E;17;ONE.TEL;TRUE;143800000;232237000
E;17;WORLDCOM;TRUE;143800000;232237000
A;18;SPECTRUMCO;FALSE;254800000;411502000
B;18;ORANGE;FALSE;446100000;720451500
C;18;TIW;FALSE;143800000;232237000
D;18;WORLDCOM;FALSE;145200000;234498000
E;18;ONE.TEL;FALSE;143800000;232237000
A;19;NTL MOBILE;FALSE;267600000;432174000
B;19;VODAFONE;FALSE;468500000;756627500
C;19;EPSILON;FALSE;152100000;245641500
D;19;WORLDCOM;FALSE;145200000;234498000
E;19;3GUK;TRUE;151000000;243865000
E;19;BT3G;TRUE;151000000;243865000
E;19;ONE2ONE;TRUE;151000000;243865000
A;20;SPECTRUMCO;FALSE;281000000;453815000
B;20;ORANGE;FALSE;515600000;832694000
C;20;EPSILON;FALSE;152100000;245641500
D;20;TELEFONICA;FALSE;154000000;248710000
E;20;3GUK;FALSE;151000000;243865000
A;21;NTL MOBILE;FALSE;295100000;476586500
B;21;VODAFONE;FALSE;541400000;874361000
C;21;EPSILON;FALSE;152100000;245641500
D;21;TELEFONICA;FALSE;154000000;248710000
E;21;WORLDCOM;FALSE;158900000;256623500
A;22;SPECTRUMCO;FALSE;309900000;500488500
B;22;VODAFONE;FALSE;541400000;874361000
C;22;TIW;FALSE;166900000;269543500
D;22;TELEFONICA;FALSE;154000000;248710000
E;22;ORANGE;FALSE;173500000;280202500
A;23;SPECTRUMCO;FALSE;309900000;500488500
B;23;VODAFONE;FALSE;541400000;874361000
C;23;TIW;FALSE;166900000;269543500
D;23;NTL MOBILE;FALSE;169000000;272935000
E;23;ORANGE;FALSE;173500000;280202500
A;24;SPECTRUMCO;FALSE;309900000;500488500
