,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,SECOND PHASE,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),,,,,,,,,,,
4,,,,,,,,,,,,,,STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),,,,,,,,,,,
5,,,,,,,,,,,,,,STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),STATUS AT END OF ROUND ( 2 ),,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,,,,,,,,,,,,,,,,,,,,,,
8,,,,,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,Current Status of Licences,,,,,,,,,,,,,,,,,,,,,,
9,,,,,Licence,Licence,Licence,Licence,Licence,Licence,Licence,,Current Price Bidder,Current Price Bidder,Current Price Bidder,Current Price Bidder,,,,,,,,,,,Current Price,Current Price,Current Price,Current Price,,,,,,,,,
